도서명,저자 정보,출판사,평점,회원리뷰수
유성의 인연 1,히가시노 게이고 저/양윤옥 역,현대문학,9.4,47
이 세상에 i를 담아서,사노 테츠야 저,디앤씨미디어(D&C미디어),8.8,41
이제 와서 날개라 해도,요네자와 호노부 저/김선영 역,엘릭시르,9.6,166
흑뢰성,요네자와 호노부 저/김선영 역,리드비(READbie),9.6,119
잠자는 숲,히가시노 게이고 저/양윤옥 역,현대문학,9.5,41
기사단장 죽이기 2,무라카미 하루키 저/홍은주 역,문학동네,8.8,312
내가 나를 버린 날,마츠무라 료야 저/권하영 역,북플라자,9.2,31
아침과 저녁의 범죄,후루타 덴 저/문지원 역,블루홀6,10.0,7
열한 번의 계절을 지나,아오야마 미나미 저/최윤영 역,모모,9.6,70
도쿄도 동정탑,구단 리에 저/김영주 역,문학동네,9.0,17
작별의 건너편 3,시미즈 하루키 저/김지연 역,모모,10.0,5
파묘 대소동,가키야 미우 저/김양희 역,문예춘추사,9.8,7
가가 형사 시리즈 개정판 세트,히가시노 게이고 저/양윤옥 역,현대문학,9.4,11
구름에 달 가리운 방금 전까지 인간이었다,미야베 미유키 저/이규원 역,북스피어,9.4,67
도쿄 사기꾼들,신조 고 저/이규원 역,북스피어,9.4,28
이상한 그림,우케쓰 저/김은모 역,북다,9.6,112
7인 1역,렌죠 미키히코 저/양윤옥 역,모모,9.6,563
I의 비극,요네자와 호노부 저/문승준 역,내친구의서재,9.6,120
우아한지 어떤지 모르는,마쓰이에 마사시 저/권영주 역,비채,9.0,131
여자 없는 남자들,무라카미 하루키 저/양윤옥 역,문학동네,8.8,236
13계단,다카노 가즈아키 저/전새롬 역,황금가지,9.3,359
삼가 이와 같이 아뢰옵니다,미야베 미유키 저/김소연 역,북스피어,9.6,84
세계의 끝과 하드보일드 원더랜드 2,무라카미 하루키 저/김난주 역,민음사,8.0,1
기묘한 민박집,가이토 구로스케 저/김진환 역,서사원,9.8,40
인어가 잠든 집,히가시노 게이고 저/김난주 역,재인,9.4,391
아웃 2,기리노 나쓰오 저/김수현 역,황금가지,8.8,22
울고 싶은 나는 고양이 가면을 쓴다,이와사 마모루 저/에이치 그림/박지현 역,이지북,9.8,27
카페 도도에 오면 마음의 비가 그칩니다,시메노 나기 저/장민주 역,더퀘스트,9.6,36
츠바키 문구점,오가와 이토 저/권남희 역,위즈덤하우스,9.2,198
앨리스 죽이기,고바야시 야스미 저/김은모 역,검은숲,8.4,315
모방범 3,미야베 미유키 저/양억관 역,문학동네,9.4,56
백은의 언덕 검은 달 3,"오노 후유미 저/야마다 아키히로 그림/추지나,이진 역",엘릭시르,9.8,67
달려라 메로스,다자이 오사무 저/유숙자 역,민음사,10.0,47
반딧불이,무라카미 하루키 저/권남희 역,문학동네,9.0,147
탐정 갈릴레오,히가시노 게이고 저/양억관 역,재인,8.4,160
책을 지키려는 고양이,나쓰카와 소스케 저/이선희 역,arte(아르테),8.9,210
